Model,Input,TF-TRT,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge,images/sec,99th_percentile(ms),total_time(s),latency_mean(ms),latency_median(ms),latency_min(ms)
EfficientDet D1,640x640,TF-TRT FP32,0.3663454970163497,0.5599982247437004,0.3880855610217413,0.16967586248878533,0.40646423983424956,0.5431109725418115,0.30959039569028435,0.4820639484475136,0.5123498317259996,0.27796680818578456,0.5664887121986596,0.7137554781821333,6.228365011138348,188.43722343444824,801.0044231414795,161.81907538211706,161.02468967437744,126.0232925415039
EfficientDet D1,640x640,TF-TRT FP16,0.3663537829930289,0.5600080415749492,0.388457484211663,0.16974311539315892,0.40658056403696413,0.5433132531709748,0.3097785865329506,0.4820422940826149,0.5122776379802277,0.27811709148404085,0.5662635090943149,0.7134777996561062,6.295072121600525,185.78124046325684,795.1186857223511,160.6300375196669,159.25419330596924,124.73273277282715
EfficientDet D2,768x768,TF-TRT FP32,0.3983720983092342,0.5944732081584928,0.42392164249295095,0.20983370362091106,0.44407079748908446,0.561046005042692,0.33203112380783595,0.5173908055029077,0.5507165394671294,0.3364298980313528,0.6014714785356632,0.7392109521606165,4.715429620940989,246.82998657226562,1070.1714444160461,216.19625139718104,212.06200122833252,167.6962375640869
EfficientDet D2,768x768,TF-TRT FP16,0.3984610410708637,0.5944771836743992,0.42388501083902685,0.2099519154337045,0.44418204604237554,0.5609578286875949,0.3319795265681264,0.5173865709062618,0.5507703644818719,0.3365410847662113,0.6014785015690802,0.7389866884862005,4.787069569936824,242.80476570129395,1049.148050069809,211.94910102420383,209.00189876556396,165.51613807678223
EfficientDet D3,896x896,TF-TRT FP32,0.42478733521108525,0.6218987763042794,0.4539751970388855,0.24758973690908312,0.46355854991082496,0.5835318711385912,0.3412465759155945,0.5433561392776568,0.5780968728973087,0.3731344592782251,0.6257567621923057,0.7501210236439063,3.5868351264119203,320.54710388183594,1404.0316331386566,283.6427541694256,278.90002727508545,225.22640228271484
EfficientDet D3,896x896,TF-TRT FP16,0.4247271121967053,0.6219685828159828,0.45352770777361157,0.24768265779986873,0.46339207540271654,0.5836362163491757,0.34129730006025594,0.5432147632740869,0.5779421831469068,0.3726017788652831,0.625601683312297,0.750266959831196,3.670361107527634,313.2171630859375,1372.8122820854187,277.3358145627108,272.43494987487793,223.29044342041016
EfficientDet D4,1024x1024,TF-TRT FP32,0.456450612782667,0.6627379360606763,0.4898362270536464,0.29166885709293566,0.5000573621266199,0.6152924518999092,0.35685957335356977,0.5692696199223999,0.6053605928922394,0.43061251348581936,0.6512152177255618,0.7689896160937185,2.5809085989298235,448.05240631103516,1927.7011814117432,389.43458210338247,387.49563694000244,312.6251697540283
EfficientDet D4,1024x1024,TF-TRT FP16,0.4565055300469919,0.6626884953586724,0.4900743115998678,0.2915755564349578,0.5001480579272573,0.6158157312878468,0.35710102210012634,0.5692510324042434,0.6054870812149784,0.43014473421502286,0.6515513328575508,0.769479469979874,2.5186587828589557,457.7791690826416,1975.155272245407,399.0212671202842,397.40538597106934,314.52012062072754
EfficientDet D5,1280x1280,TF-TRT FP32,0.4614030337313652,0.6663567368450518,0.4974027548286214,0.2962751991289989,0.5064024370135378,0.6081405544051947,0.35911448324089307,0.5819953340577577,0.6190187007285135,0.4429989783635072,0.6638609347340466,0.7716809806208889,1.4984206848397756,758.9907646179199,3317.04176402092,670.1094472769536,668.9968109130859,537.039041519165
EfficientDet D5,1280x1280,TF-TRT FP16,0.46135317657599334,0.6664410061119205,0.4971577358165855,0.2963479869654559,0.506586493790479,0.6080193443426547,0.35897665280242047,0.5820924572469722,0.6191912501096628,0.4438030713231987,0.6641997152216121,0.7715689740918299,1.4761404188504328,756.0117244720459,3371.4967074394226,681.1104459473581,678.1706809997559,555.2413463592529
EfficientDet D6,1280x1280,TF-TRT FP32,0.46597413254556697,0.670415771595337,0.5018805728429324,0.31294637720163154,0.5148963092902696,0.6033053653045908,0.36239162272440467,0.5882033092326675,0.6254919982377711,0.4584932521622489,0.670483922634212,0.7761312867194644,1.1910688007705548,929.1455745697021,4167.8049058914185,841.9807890689734,840.4374122619629,693.1796073913574
EfficientDet D6,1280x1280,TF-TRT FP16,0.46581353552663723,0.6704098350996833,0.5016193355145612,0.31279261790062834,0.5146122049848526,0.6032393568062684,0.36228195228746385,0.5881416595969654,0.6253234984824274,0.4582903319199428,0.6701111262705953,0.7761547158339246,1.1941943917140105,928.5702705383301,4156.677840709686,839.732897113068,837.8695249557495,702.1236419677734
EfficientDet D7,1536x1536,TF-TRT FP32,0.4774608857123285,0.6813629282894748,0.5119255543975897,0.31740548389528567,0.5206584235578661,0.6285719387151454,0.36720184606674267,0.5942872333952856,0.6317011732115353,0.464921072776717,0.6760158173279441,0.78707691444967,1.0179835125891847,1095.0086116790771,4897.821573495865,989.4589037365383,980.9359312057495,807.5284957885742
EfficientDet D7,1536x1536,TF-TRT FP16,0.47751961089785594,0.6813061253789338,0.5120416327595579,0.31776242485570494,0.5208294024654431,0.628745972647674,0.3672372666162063,0.5942886200934662,0.631816496249715,0.46537097539221484,0.6764778832275579,0.7870437546896605,1.0243065211360887,1085.4809284210205,4864.441395998001,982.7154335349497,975.7639169692993,820.6336498260498
SSD MobileNet v2,320x320,TF-TRT FP32,0.2001973962213466,0.34552092687764346,0.19913336433247308,0.02295287116854156,0.17242377172346263,0.4133929493183794,0.21248543771454748,0.32513424518903244,0.34441057899369976,0.06860346625355868,0.3513316315394369,0.6543036418129762,34.99417398618959,34.82341766357422,150.17244911193848,30.337868507462318,28.444409370422363,22.98569679260254
SSD MobileNet v2,320x320,TF-TRT FP16,0.20008625410733327,0.34527328936471263,0.19847366714506956,0.022918673623095735,0.1720962275198035,0.41345969145190714,0.2122601440051836,0.3249409663349459,0.34419783857789427,0.06817838847554297,0.35086631063762186,0.6543603506802504,36.10106203707389,33.742427825927734,147.99271035194397,29.897517242816964,27.514219284057617,22.820472717285156
